id,count
丰田-花冠-2013,444476
误检-公交车顶（车头）,207412
宇通-ZK6180HGC（车头）,190502
大众-桑塔纳经典-19902007（车头）,74909
载货车类（车尾）,70164
大众-桑塔纳-20132015(低配版)（车头）,67423
丰田-卡罗拉-2014,60662
大众-帕萨特-20112015,59775
日产-轩逸-2016,51269
大众-桑塔纳-20132015（车尾）,51133
大众-途观-20132015,48518
五菱-荣光-2012（车头）,47809
奥迪-A6L-20122014,46399
丰田-花冠-20102011,46065
大众-迈腾-20122016（车头）,45885
起亚-K3-2016,45378
五菱-宏光V-2015,44177
大众-速腾-20122014,43651
五菱-荣光-20112012（车尾）,41466
福特-福睿斯-2015,40029
比亚迪-F3-20052013,39641
大众-速腾-2015（车头）,39220
大众-桑塔纳-19902007（车尾）,38967
五菱-荣光-2011（车头）,38914
五菱-五菱之光-20062009（车尾）,37947
现代-名驭-2009,37795
本田-CRV-20122013,36425
别克-英朗-2015（车头）,34791
大众-朗逸-20082011,32761
大众-高尔夫-20142017（车头）,31962
五菱-宏光S-20142015（车头）,31905
大众-朗逸-20132014(中高配版)（车头）,30917
宝骏-730-2016,30788
别克-凯越-20082013（车尾）,30745
雪铁龙-爱丽舍-2014,30712
五菱-五菱之光-2008（车头）,29844
大众-桑塔纳-20132015(中高配版)（车头）,29731
别克-凯越-2013（车头）,28906
日产-轩逸-2009（车头）,28785
五菱-五菱之光-2007（车头）,28264
别克-凯越-20082011（车头）,28207
栏板卡车类（车尾）,27311
大众-宝来-20082012,27253
误检-地面（车头）,26828
雪佛兰-科鲁兹-20092013（车头）,26687
大众-朗逸-20152017(中高配版)（车头）,24760
五菱-宏光-20102014,24571
大众-捷达-20132015(低配版)（车头）,23645
日产-奇骏-2014,23504
别克-英朗GT-20102014,23496
丰田-RAV4-20132015,23285
大众-捷达-20102012,23241
福特-福克斯-2012（车头）,23133
大众-迈腾-20122015（车尾）,22973
奥迪-A6L-20092011,22892
现代-途胜-2015,22720
起亚-K3-20132015,22611
车尾（车头）,22489
大众-迈腾-2017（车头）,22482
现代-朗动-20122015（车尾）,22463
大众-帕萨特-2016,22361
江淮-瑞风-20072012,22352
本田-CRV-2015,22317
大众-宝来-20132015（车头）,22088
现代-名图-2013（车头）,22038
现代-ix35-20102012,21901
别克-昂科威-20142016（车头）,21839
广汽传祺-GS4-2015（车头）,21743
大众-捷达-20132015（车尾）,21656
五菱-宏光-20102014(中高配版)（车头）,21380
大众-桑塔纳志俊-20042008(实尚型)（车尾）,20971
雪佛兰-赛欧-20102013（车头）,20860
奥迪-Q5-2013（车头）,20781
五菱-宏光S-20132014（车尾）,20609
现代-悦动-2011,20375
大众-桑塔纳志俊-2008(豪华型)（车头）,20025
五菱-宏光-2010(低配版)（车头）,19976
雪佛兰-迈锐宝-20122014,19923
现代-伊兰特-2011,19919
五菱-荣光-20142015,19903
日产-轩逸-2012（车头）,19832
起亚-智跑-20112014,19757
宝骏-730-20142015,19553
大众-朗逸-20132015（车尾）,19497
大众-高尔夫-20102012,19449
福特-经典全顺-20092013（车头）,19385
福特-蒙迪欧-2013,19168
别克-威朗-2015（车头）,18888
吉利-博越-2016,18637
误检-地板（车尾）,18477
本田-飞度-2014,18455
长安-长安之星-2009,18406
长安-长安之星2-2012,18370
大众-高尔夫-20142015（车尾）,18131
日产-骐达-2008,17879
宝马-5系-20112015（车尾）,17820
五菱-五菱之光-2013(基本型)（车头）,17817
丰田-凯美瑞-2015,17565
大众-速腾-20152017（车尾）,17467
北汽威旺-306-20112013（车头）,17451
现代-朗动-20122013（车头）,17429
长安-CS75-2014,17421
大众-捷达-20132015(中高配版)（车头）,17420
日产-轩逸-20122014（车尾）,17217
起亚-福瑞迪-20092012,17196
金杯-海狮-2004（车头）,17109
哈弗-H6-20132017(运动版含红标版)（车尾）,17052
丰田-普拉多-2014（车头）,17036
现代-ix35-2013（车头）,16889
日产-轩逸-20092012(含经典版)（车尾）,16717
日产-骐达-2011（车头）,16632
雪佛兰-科鲁兹-2015(经典版),16607
本田-缤智-2015,16467
别克-英朗-20152017（车尾）,16319
长安-长安星光4500-2012,16155
金杯-海狮-20082014(快运王)（车尾）,16127
大众-朗逸-20152017（车尾）,16022
大众-朗逸-20132014(低配版)（车头）,15972
现代-瑞纳-20102013（车尾）,15905
五菱-五菱之光-20132014（车尾）,15768
现代-ix25-2015,15712
现代-瑞纳-2010（车头）,15658
起亚-K2-20112014（车头）,15656
现代-悦动-2008（车头）,15582
铃木-北斗星-2007（车头）,15489
比亚迪-F0-20082013,15459
福特-翼虎-2013（车头）,15411
大众-捷达-20042008,15386
丰田-卡罗拉-2010（车头）,15384
丰田-雷凌-2014（车头）,15332
